Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Pcorr282_BL_1	73.35512740852178	39.0	150.0	18.181818181818183	31702406.0
Pcorr282_BL_2	72.8527314281878	39.0	150.0	18.181818181818183	31702406.0
Pcorr282_ant_1	75.96962676415123	40.0	150.0	18.181818181818183	30458576.0
Pcorr282_ant_2	75.53130407346275	40.0	150.0	18.181818181818183	30458576.0
Pcorr283_BL_1	74.33088012627938	40.0	150.0	18.181818181818183	32598958.0
Pcorr283_BL_2	73.04123409651035	40.0	150.0	18.181818181818183	32598958.0
Pcorr283_ant_1	74.87990518482005	42.0	150.0	18.181818181818183	31439157.0
Pcorr283_ant_2	74.14739901954002	42.0	150.0	18.181818181818183	31439157.0
Pcorr284_BL_1	78.56350918339609	40.0	150.0	18.181818181818183	32388643.0
Pcorr284_BL_2	77.28530859273339	40.0	150.0	18.181818181818183	32388643.0
Pcorr284_ant_1	80.53737544993751	41.0	150.0	18.181818181818183	30705450.0
Pcorr284_ant_2	79.32103245459885	41.0	150.0	18.181818181818183	30705450.0
Pcorr299_BL_1	74.06385576635988	41.0	150.0	18.181818181818183	32684304.0
Pcorr299_BL_2	73.31935386175974	41.0	150.0	18.181818181818183	32684304.0
Pcorr299_ant_1	72.13943522381703	41.0	150.0	18.181818181818183	32654561.0
Pcorr299_ant_2	71.39988466137302	41.0	150.0	18.181818181818183	32654561.0
Pcorr300_BL_1	70.13054472477972	40.0	150.0	18.181818181818183	30770338.0
Pcorr300_BL_2	69.36557772768083	40.0	150.0	18.181818181818183	30770338.0
Pcorr300_ant_1	71.7856449238177	41.0	150.0	18.181818181818183	32388238.0
Pcorr300_ant_2	71.06931030748015	41.0	150.0	18.181818181818183	32388238.0
Pcorr304_BL_1	71.26434573446186	40.0	150.0	18.181818181818183	32190759.0
Pcorr304_BL_2	70.67720500532094	40.0	150.0	18.181818181818183	32190759.0
Pcorr304_ant_1	74.26499821557147	41.0	150.0	18.181818181818183	35809728.0
Pcorr304_ant_2	73.44270665405419	41.0	150.0	18.181818181818183	35809728.0
Pcorr305_BL_1	70.76621264042663	40.0	150.0	18.181818181818183	34536165.0
Pcorr305_BL_2	70.09067412666472	40.0	150.0	18.181818181818183	34536165.0
Pcorr305_ant_1	69.19636421940814	41.0	150.0	18.181818181818183	30998100.0
Pcorr305_ant_2	68.84860968915935	41.0	150.0	18.181818181818183	30998100.0
Pcorr585_BL_1	72.47413773943109	36.0	150.0	18.181818181818183	32736689.0
Pcorr585_BL_2	71.94860232721922	37.0	150.0	18.181818181818183	32736689.0
Pcorr585_ant_1	75.786685075124	36.0	150.0	18.181818181818183	34543031.0
Pcorr585_ant_2	75.18313694122439	36.0	150.0	18.181818181818183	34543031.0
Pcorr628_BL_1	77.58561697266715	38.0	150.0	27.27272727272727	36666550.0
Pcorr628_BL_2	77.222859709943	38.0	150.0	27.27272727272727	36666550.0
Pcorr628_ant_1	69.9282433140439	40.0	150.0	18.181818181818183	33363546.0
Pcorr628_ant_2	69.40981459372216	40.0	150.0	18.181818181818183	33363546.0
Pcorr726_BL_1	73.87865954954918	41.0	150.0	18.181818181818183	30883685.0
Pcorr726_BL_2	73.30374988846984	41.0	150.0	18.181818181818183	30883685.0
Pcorr726_ant_1	69.76936736381037	41.0	150.0	18.181818181818183	32376128.0
Pcorr726_ant_2	68.96052064575734	41.0	150.0	18.181818181818183	32376128.0
Pcorr727_BL_1	78.33542927293429	39.0	150.0	27.27272727272727	31429392.0
Pcorr727_BL_2	77.2329979698399	39.0	150.0	27.27272727272727	31429392.0
Pcorr727_ant_1	73.12723484404833	40.0	150.0	18.181818181818183	32221995.0
Pcorr727_ant_2	71.79265413422866	40.0	150.0	18.181818181818183	32221995.0
Pcorr732_BL_1	73.00596203465044	42.0	150.0	18.181818181818183	37596924.0
Pcorr732_BL_2	71.17223483209573	42.0	150.0	18.181818181818183	37596924.0
Pcorr732_ant_1	72.1775271125539	41.0	150.0	18.181818181818183	36263980.0
Pcorr732_ant_2	71.53439850309407	41.0	150.0	18.181818181818183	36263980.0
Pcorr736_BL_1	89.63990780978662	42.0	150.0	18.181818181818183	32808491.0
Pcorr736_BL_2	88.73926465816868	42.0	150.0	18.181818181818183	32808491.0
Pcorr736_ant_1	82.57820088218395	41.0	150.0	18.181818181818183	30887716.0
Pcorr736_ant_2	81.87951228414853	41.0	150.0	18.181818181818183	30887716.0
Pcorr737_BL_1	72.18490375385038	41.0	150.0	18.181818181818183	34049510.0
Pcorr737_BL_2	71.77572528934553	41.0	150.0	18.181818181818183	34049510.0
Pcorr737_ant_1	84.12603214946643	41.0	150.0	18.181818181818183	31448484.0
Pcorr737_ant_2	83.02355909730528	41.0	150.0	18.181818181818183	31448484.0
Pcorr739_BL_1	75.47582316869747	40.0	150.0	18.181818181818183	34088880.0
Pcorr739_BL_2	74.98795703242706	40.0	150.0	18.181818181818183	34088880.0
Pcorr739_ant_1	75.73484738077276	41.0	150.0	18.181818181818183	31441222.0
Pcorr739_ant_2	75.30882730393216	41.0	150.0	18.181818181818183	31441222.0
